,0
0,2004.540153415096
1,1125.516686661159
2,1602.0548288372943
3,2782.7158517498447
4,4940.343041138972
5,1864.324632332902
6,773.1869142939217
7,2496.855512022116
8,1871.54829552075
9,3610.7603037993986
10,1930.5237311320275
11,1051.9077966309792
12,1497.2176082350297
13,1978.33492088531
14,1095.5179112067833
15,2807.4803426219946
16,3542.980691705918
17,3262.097121993447
18,3318.1056393431436
19,1572.1149522260243
20,2718.312275477704
21,3524.576187556277
22,1038.7435448186557
23,716.4128461793525
24,2744.9308068356263
25,1620.9131341857565
26,1094.8562702472757
27,2680.892138083691
28,3516.223900591344
29,1923.656880982664
30,-945.9724082493935
31,3266.995457100291
32,796.57329383476
33,4969.2525211448665
34,2757.658087268773
35,4974.236933336945
36,2477.4492299979124
37,-32.871099715478294
38,3585.0081100082166
39,3321.9099812416325
40,2439.8107373558328
41,-38.6401989850533
42,2732.4928288365863
43,2443.9378880163854
44,1614.444301759644
45,1888.265933497023
46,-932.0682844023224
47,2739.3477187555927
48,3540.4679341743035
49,1860.8939618858471
50,1035.7330754949949
51,1889.3072546022279
52,2773.850519997183
53,1931.4655371804786
54,4964.735706180971
55,3653.58908545954
56,2752.2188921709217
57,1069.1857471476383
58,1509.996743905856
59,1075.34758496411
60,2744.8713540792155
61,3597.894577995101
62,3322.210768641591
63,1938.4282053446093
64,2708.0027798975952
65,2482.009910865755
66,2761.406544186046
67,3511.9885293975703
68,2739.534786129977
69,3541.69740218529
70,2827.1981978213175
71,3316.7984946412744
72,1609.068474938105
73,3636.2884440409443
74,3550.6608695995337
75,2720.8170775845306
76,-192.33544182310834
77,2666.2046226567636
78,1474.2020153448034
79,2732.2021705005986
80,2748.214282467579
81,1621.9528589028905
82,1873.4875768868178
83,3568.388348088019
84,2777.710559955032
85,1926.6277669365868
86,3529.311502523202
87,3532.491804703296
88,1041.6583790628772
89,1552.0289015924573
90,2734.721911872818
91,4959.5214830402565
92,3314.116700488028
93,1599.3249399115218
94,1907.506210871823
95,1053.7908205822814
96,1945.7629607139963
97,2434.8175743930524
98,2714.437661978789
99,1084.1172870703622
100,2445.8280073332917
101,1933.4991541732666
102,2779.066062083033
103,1882.189676234325
104,1505.7110857916077
105,4948.598005830631
106,1524.291066795798
107,1169.055949370721
108,2479.698257684583
109,3273.944598433409
110,800.3296370516487
111,3497.470660090221
112,-879.7952865259904
113,4936.426216067224
114,1875.729580599319
